icao,iata,name,city,country,lat,lon,airport_type
US-12899,,Davis Airport,Miami,US,25.535258,-80.469832,closed
US-1290,,Holt Farms Airport,Northwood,US,43.42778,-93.272746,small_airport
US-12900,,Windsong Farms Heliport,Columbus,US,39.912347,-83.057839,heliport
US-12901,,Pops Landing,Sparta,US,35.839548,-85.545585,small_airport
US-12902,,Woolrich Volunteer Fire Company Heliport,Woolrich,US,41.194931,-77.378503,heliport
US-12903,,Promised Landings Airport,Prairieville,US,30.31164,-90.835818,small_airport
US-12904,,GOH Greens Landing,Milan,US,41.921138,-76.526165,heliport
US-12905,,Frontier Airport,Dillwyn,US,37.581944,-78.357933,small_airport
US-12906,,Ocean County Airport/Osbornville Airport,Osbornville,US,40.04,-74.114,closed
US-12907,,Red Bank Airport,Red Bank,US,40.327,-74.08,closed
US-12908,,Rudy's Airport,Vineland,US,39.555,-75.064,closed
US-12909,,Piney Hollow Airfield,Monroe,US,39.593029,-74.901261,closed
US-1291,,Porcupine Ridge Airport,Pie Town,US,34.511795,-108.037748,small_airport
US-12910,,Painter Creek Airport,Painter Creek Lodge,US,57.155616,-157.409829,small_airport
US-12911,,Tranquility Base Airport,Springville,US,33.712447,-86.395595,small_airport
US-12912,,OH Viera Hospital Heliport,Melbourne,US,28.260194,-80.728939,heliport
US-12913,,Scenic Mesa Ranch Airport,Hotchkiss,US,38.733011,-107.75932,small_airport
US-12914,,Kato Av Heliport,Good Thunder,US,44.01036,-93.956266,heliport
US-12915,,Pecan Knoll Heliport,Heath,US,32.818089,-96.492634,heliport
US-12916,,Chopper Charter Heliport,Branson,US,36.638668,-93.275562,heliport
US-12917,,Putnam County Airport,Cookeville,US,36.196427,-85.48758,closed
US-12918,,Dennis Airport,Aboite,US,41.002222,-85.296392,closed
US-12919,,Rally Ready Helipoirt,Dale,US,29.998591,-97.55144,heliport
US-1292,,Brentwood Ambulatory Care Center Heliport,Northfield,US,41.3163,-81.568889,closed
US-12921,,Fort Myers City Airport,,US,26.632048,-81.853281,closed
US-12922,,James Heliport,Brooksville,US,28.58615,-82.471914,heliport
US-12923,,Webb Lake Lodge Seaplane Base,Webb Lake,US,46.029794,-92.12703,seaplane_base
US-12924,,Ebert Field,Ashton,US,41.916029,-89.272074,small_airport
US-12925,,Remuda Ranch / Port of the Islands Airfield,,US,25.954686,-81.512607,closed
US-12926,,Casa Ybel Airport / Island Beach Club Airport,,US,26.425641,-82.072953,closed
US-12927,,Lehigh Acres Airpark,,US,26.66217,-81.605935,closed
US-12928,,Edgerton Hospital Heliport,Edgerton,US,42.835424,-89.044265,heliport
US-12929,,Steed Ranch Heliport,Olathe,US,38.613733,-108.085789,heliport
US-1293,,George Washington University Hospital Heliport,Washington,US,38.900903,-77.051132,heliport
US-12930,,Michigan Helicopters Helideck,Lake Orion,US,42.778497,-83.260752,heliport
US-12931,,Silvertree Heliport,La Pointe,US,46.841598,-90.660309,heliport
US-12932,,Camp Pendleton HLZ,,US,33.433608,-117.558764,heliport
US-12933,,Bright Hour Ranch Airport,,US,27.19532,-81.928894,small_airport
US-12934,,Bright Hour Ranch Airport,,US,27.188308,-81.750104,small_airport
US-12935,,HD Farm & Ranch Airport,Burnet,US,30.849273,-98.202923,small_airport
US-12936,,H2oztec Seaplane Base,Groveland,US,28.598868,-81.814355,seaplane_base
